id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
2085,near_duplicate,duplikat,Membalas  @MOQEELFORTRESS SEGERA TETAPKAN JADI BENCANA NASIONAL   #AllEyesOnSumatera  #PrayForSumatera  #PrayForTapanuli  #PrayForSibolga  #PrayForAceh #PrayForPadang 1 396,2025-11-29,2084,0.9032,Kemiripan 90% dengan id 2084
7899,near_duplicate,duplikat,"Menkomdigi Meutya Hafid: Telekomunikasi Pasca Banjir Sumatra Mulai Pulih, Aceh Capai 73 Persen #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia",2025-12-30,2210,0.9229,Kemiripan 92% dengan id 2210
7913,near_duplicate,duplikat,"Bupati Aceh Utara Ismail A. Jalil menyampaikan kekecewaannya karena Presiden Prabowo Subianto tidak mengunjungi daerahnya. Padahal, sebagian besar wilayah Aceh Utara, dari hulu ke hilir, terdampak banjir bandang, November 2025 lalu.  Keluhan itu disampaikan Ismail A. Jalil dalam",2025-12-30,2256,0.9518,Kemiripan 95% dengan id 2256
7914,near_duplicate,duplikat,"Bupati Aceh Timur, Iskandar Usman Al-Farlaky  menemukan tumpukan besar kayu gelondongan yg diduga hasil pembalakan liar  Yg memperkuat dugaan bahwa aktivitas ilegal ini memperparah bencana banjir bandang dan merugikan masyarakat, shg ia membentuk tim terpadu untuk mengusutnya",2025-12-30,2262,0.9439,Kemiripan 94% dengan id 2262
7987,near_duplicate,duplikat,Perumda Tirta Pase Salurkan 446 Tangki Air Bersih untuk Pengungsi Banjir  Total air bersih yang disalurkan selama masa tanggap darurat banjir tersebut mencapai 1.648.000 liter atau setara 1.648 ton  #AirBersih #Pengungsi #Banjir #AcehUtara,2025-12-30,2325,0.9696,Kemiripan 97% dengan id 2325
7827,near_duplicate,duplikat,"PT Bank Rakyat Indonesia (Persero) Tbk menggelar program Trauma Healing bagi anak-anak terdampak bencana banjir bandang di Aceh, Sumatera Utara, dan Sumatera Barat. Program ini menjadi bagian dari aksi kemanusiaan BRI Group melalui BRI Peduli Sumatra yang berfokus pada pemulihan",2025-12-30,2333,0.9481,Kemiripan 95% dengan id 2333
7847,near_duplicate,duplikat,PLN Bicara Beda Dampak Kerusakan Listrik Banjir Sumatra & Tsunami Aceh,2025-12-30,2337,0.916,Kemiripan 92% dengan id 2337
2461,near_duplicate,duplikat,"Trauma Healing Polri, Dukungan Psikologis bagi Anak Korban Banjir Bandang di Padang Pariaman  Padang Pariaman — Sebagai bentuk kepedulian terhadap pemulihan psikologis korban bencana alam, anggota Bidang Psikologi SDM Polda Sumatera Barat melaksanakan kegiatan Polisi Mengajar 43",2025-12-30,2459,0.9662,Kemiripan 97% dengan id 2459
2462,near_duplicate,duplikat,"Wakapolri Komjen Pol. Prof. Dr. Dedi Prasetyo, S.H., M.Hum., M. Si., M.M., melakukan kunjungan kerja ke hunian sementara (huntara) korban banjir dan tanah longsor di Korong Asam Pulau, Nagari Anduriang, Kecamatan 2x11 Kayu Tanam, Kabupaten Padang Pariaman, Sumatera Barat. Dalam Tampilkan lebih banya",2025-12-29,2460,0.9466,Kemiripan 95% dengan id 2460
8098,near_duplicate,duplikat,"Bencana banjir besar dan tanah longsor di Sumatera Barat turut melumpuhkan jalur vital Lembah Anai, urat nadi ekonomi yang menghubungkan Padang dan Riau. Menko Infrastruktur dan Pembangunan Kewilayahan, Agus Harimurti Yudhoyono, hadir langsung meninjau lokasi terdampak,",2025-12-16,2531,0.9433,Kemiripan 94% dengan id 2531
